x,y,z,name
58.3, 135.5, 41.9, "Hyades"
-251.2, -24.7, 122.3, "Coma Star Cluster"
143.3, 1330.0, -127.6, "Trapezium Cluster"
-116.5, -1338.8, -846.8, "Messier 6, Butterfly Cluster"
-20.3, -749.8, -521.0, "Messier 7"
1362.1, -6007.5, -676.4, "Messier 11, Wild Duck Cluster"
467.1, -5681.8, -1402.0, "Messier 16, Eagle Nebula"
352.1, -4024.8, -1242.9, "Messier 18"
66.5, -3630.8, -1503.0, "Messier 21"
-25.4, -1936.7, -666.3, "Messier 23"
703.8, -9470.4, -3174.4, "Messier 24"
263.4, -1892.4, -662.2, "Messier 25"
1011.1, -5048.4, -850.8, "Messier 26"
908.2, 776.4, 1105.1, "Messier 34"
-107.6, 2707.8, 1226.4, "Messier 35"
372.2, 3571.3, 2434.1, "Messier 36"
129.3, 3846.8, 2456.8, "Messier 37"
503.9, 3666.7, 2674.3, "Messier 38"
537.0, -405.4, 759.1, "Messier 39"
-431.7, 2121.8, -821.1, "Messier 41"
-369.9, 439.3, 205.4, "Messier 44, Beehive Cluster"
221.4, 339.0, 181.2, "Messier 45, Pleiades"
-2044.1, 4300.1, -1259.4, "Messier 46"
-633.0, 1411.8, -400.1, "Messier 47"
-1376.4, 2085.5, -251.6, "Messier 48"
-870.4, 3107.1, -475.5, "Messier 50"
2147.4, -332.4, 4016.0, "Messier 52"
-1970.6, 2126.2, 605.6, "Messier 67"
-1363.2, 2776.4, -1368.5, "Messier 93"
4403.1, 1900.8, 8528.7, "Messier 103"
-222.3, 77.4, -491.2, "IC 2602, Southern Pleiades"
-222.6, 263.9, -458.6, "IC 2391, Omicron Velorum Cluster"
-215.7, 435.5, -379.2, "NGC 2451 A"
228.6, 287.4, 424.1, "Alpha Persei Cluster"
-10039.8, 21828.2, -16114.6, "Arp-Madore 2"
715.0, 13.4, -411.8, "Blanco 1"
5610.7, 59632.9, -156579.3, "Hodge 301"
153.2, 1398.8, 246.4, "Lambda Orionis Cluster"
-242.4, 792.9, -628.6, "Pi Puppis Cluster"
3.1, -651.5, 33.0, "Melotte 186"
5237.1, 56187.4, -147777.9, "NGC 2070"
-121.4, 1049.4, -87.8, "NGC 2232"
181.4, -1056.0, -102.2, "IC 4756"
-271.1, 479.2, -985.1, "NGC 2516, Southern Beehive Cluster"
-68.2, -1140.3, 114.4, "IC 4665"
-586.9, 652.9, -804.0, "Trumpler 10"
146.5, -1206.2, 139.9, "NGC 6633"
592.1, 882.8, 668.5, "IC 348"
898.1, 506.6, 799.3, "NGC 752"
-668.2, 159.2, -1128.3, "NGC 3532, Wishing Well Cluster"
-455.9, 1491.3, -1182.3, "Collinder 121"
-409.4, 1059.6, -705.7, "Collinder 140"
-2964.8, -496.1, -7579.6, "Collinder 261"
-497.5, 775.0, -1070.7, "NGC 2547"
-294.2, -1195.7, -961.5, "NGC 6281"
995.4, 191.7, 1887.9, "NGC 225"
-930.2, -750.6, -1813.8, "NGC 5662"
-1248.7, -775.8, -1651.9, "NGC 5460"
1168.8, 204.5, 2146.6, "NGC 189"
-593.1, -1062.3, -2144.7, "NGC 6025"
1605.7, -988.8, 2041.1, "IC 5146"
-626.5, 2727.3, 22.8, "NGC 2301"
-285.2, -1842.3, -2216.5, "IC 4651"
-659.3, -1394.9, -2462.7, "NGC 6087, S Normae Cluster"
-1290.7, 725.0, -2576.2, "NGC 3114"
-1413.1, 2430.4, -971.7, "NGC 2509"
-522.0, 2886.8, 511.1, "NGC 2264"
712.1, 1336.5, 2888.6, "NGC 1502"
1190.8, 20.8, 3036.4, "Berkeley 59"
-122.0, 3327.5, 828.1, "NGC 2169"
-789.7, -2736.1, -2344.7, "NGC 6242"
1703.3, 523.2, 3293.1, "NGC 381"
-845.6, -2530.9, -2863.2, "NGC 6204"
-856.7, -2896.7, -2704.0, "NGC 6231"
-1536.3, 3264.7, -2227.0, "NGC 2439"
-1214.2, -2414.2, -3749.2, "NGC 6067"
-1471.3, 4120.6, -2038.8, "NGC 2362, Tau Canis Majoris Cluster"
1446.5, -4680.2, 402.7, "NGC 6756"
-1358.5, -2552.3, -3986.9, "NGC 6031"
-210.3, 4966.6, 1857.0, "NGC 2175"
438.4, 94.0, 5395.6, "NGC 188"
-748.4, 5342.0, 465.6, "NGC 2244"
2682.4, 353.1, 4727.3, "NGC 129"
-1971.1, 5589.5, -1658.5, "NGC 2360, Caroline's Cluster"
2578.4, -4839.2, 3091.7, "NGC 6834"
2780.8, 1362.3, 5510.5, "NGC 659"
-3099.9, -738.5, -5601.9, "NGC 4755, Jewel Box"
-1474.0, -4286.9, -4941.4, "NGC 6200"
3021.3, 2097.9, 5696.5, "NGC 869"
2778.3, 1340.1, 6333.8, "NGC 637"
-2297.6, 6579.2, 1709.6, "NGC 2355"
-31.6, 6589.4, 2840.1, "NGC 2129"
3398.6, 1696.3, 6918.9, "NGC 663"
3919.3, 1409.1, 6739.2, "NGC 457"
-549.0, 8105.0, -2744.4, "NGC 2204"
4236.5, 3021.9, 8054.1, "NGC 884"
1049.9, 8253.3, 5664.7, "NGC 1931"
268.1, 1764.1, -184.4, "NGC 1980"
-487.4, 15089.9, 6753.5, "NGC 2158"
1167.4, 14352.7, 11758.4, "Teutsch 2"
5217.0, -14160.3, 11691.6, "NGC 6791"
-4408.9, 1696.9, -7624.3, "NGC 3293"
-2690.9, 280.5, -5007.2, "NGC 3766, Pearl Cluster"
8759.7, -2582.3, 0.0, "NGC 7419"
4182.7, -47.5, 6372.0, "NGC 7789, White Rose Cluster"
-2858.1, 14079.5, -4323.9, "Gaia 1"
